revenue|sales|city
5|3|London
448814|1|Oxford
29|3|London
42|4|London
448834|4|Oxford
1346438|3|Cambridge
1346451|3|Cambridge
897686|1|Durham
117|3|London
1346482|3|Cambridge
448911|3|Oxford
1346498|4|Cambridge
448927|4|Oxford
448975|3|Oxford
897762|3|Durham
200|4|London
1346563|3|Cambridge
897787|2|Durham
897796|2|Durham
254|3|London
1346626|3|Cambridge
897855|3|Durham
284|3|London
897901|1|Durham
1346716|3|Cambridge
360|2|London
361|3|London
897939|3|Durham
449159|3|Oxford
897956|3|Durham
449173|4|Oxford
897966|3|Durham
1346763|2|Cambridge
898022|3|Durham
449266|4|Oxford
1346866|1|Cambridge
1346892|2|Cambridge
539|3|London
898132|3|Durham
1346925|3|Cambridge
1346930|3|Cambridge
577|1|London
578|3|London
1346940|3|Cambridge
449368|2|Oxford
898159|2|Durham
898176|4|Durham
621|4|London
1346990|2|Cambridge
1347000|4|Cambridge
1347004|3|Cambridge
661|3|London
1347034|3|Cambridge
684|2|London
449473|3|Oxford
690|3|London
898268|1|Durham
898292|3|Durham
724|3|London
898299|4|Durham
898312|4|Durham
742|3|London
898327|4|Durham
898328|3|Durham
1347120|1|Cambridge
1347122|4|Cambridge
898342|1|Durham
1347137|3|Cambridge
898356|3|Durham
799|1|London
815|2|London
1347177|2|Cambridge
1347178|4|Cambridge
449621|3|Oxford
836|3|London
898418|2|Durham
1347208|3|Cambridge
855|3|London
1347238|3|Cambridge
449681|1|Oxford
898474|3|Durham
939|3|London
898542|3|Durham
898552|3|Durham
898554|3|Durham
449769|4|Oxford
898558|1|Durham
1033|4|London
1347395|3|Cambridge
1043|1|London
1347404|3|Cambridge
449844|3|Oxford
449849|3|Oxford
449857|3|Oxford
1074|2|London
898650|4|Durham
1109|3|London
1118|3|London
1122|3|London
1347498|2|Cambridge
898717|1|Durham
1347511|4|Cambridge
1347517|1|Cambridge
1159|3|London
1347532|4|Cambridge
898750|4|Durham
1190|2|London
898764|4|Durham
1347557|4|Cambridge
1347563|1|Cambridge
450001|3|Oxford
450004|2|Oxford
1230|4|London
1231|2|London
1347590|2|Cambridge
450022|4|Oxford
1347617|1|Cambridge
898846|3|Durham
450065|3|Oxford
1347650|3|Cambridge
1300|3|London
450093|3|Oxford
1313|2|London
1347682|3|Cambridge
898919|2|Durham
898924|4|Durham
898967|3|Durham
898976|3|Durham
450204|3|Oxford
899010|3|Durham
1347844|3|Cambridge
1495|3|London
450288|4|Oxford
899109|1|Durham
899128|4|Durham
1558|3|London
1347924|3|Cambridge
450355|2|Oxford
1347939|3|Cambridge
1586|3|London
899159|4|Durham
1651|3|London
1669|2|London
450456|1|Oxford
1679|4|London
1348040|3|Cambridge
450468|3|Oxford
1348042|4|Cambridge
450472|4|Oxford
1701|3|London
1715|2|London
1738|2|London
450547|3|Oxford
1348123|4|Cambridge
1773|4|London
1809|3|London
1811|1|London
450599|2|Oxford
1348194|4|Cambridge
450646|4|Oxford
450664|4|Oxford
450667|3|Oxford
1888|4|London
450703|2|Oxford
1348284|3|Cambridge
1348300|3|Cambridge
899532|3|Durham
450752|4|Oxford
1971|3|London
899545|3|Durham
1348333|1|Cambridge
1985|3|London
450795|3|Oxford
450796|3|Oxford
2029|3|London
450832|3|Oxford
1348408|1|Cambridge
2050|2|London
1348411|3|Cambridge
2054|4|London
899634|2|Durham
1348457|2|Cambridge
899677|4|Durham
2106|3|London
899711|1|Durham
2142|3|London
1348508|3|Cambridge
450954|3|Oxford
1348539|1|Cambridge
450969|2|Oxford
2193|4|London
450982|2|Oxford
2199|2|London
450986|3|Oxford
451000|4|Oxford
899787|3|Durham
1348581|4|Cambridge
1348592|3|Cambridge
2243|3|London
1348603|2|Cambridge
2255|3|London
899839|3|Durham
2272|3|London
1348648|3|Cambridge
899867|3|Durham
899878|4|Durham
451095|2|Oxford
1348668|3|Cambridge
451105|4|Oxford
2326|4|London
899907|4|Durham
899922|4|Durham
1348708|2|Cambridge
2352|4|London
451144|3|Oxford
2367|3|London
1348738|3|Cambridge
2393|4|London
899983|2|Durham
1348771|3|Cambridge
899986|4|Durham
2421|4|London
2439|3|London
451228|4|Oxford
900029|2|Durham
1348841|3|Cambridge
451270|4|Oxford
451284|3|Oxford
2503|2|London
900078|4|Durham
900092|3|Durham
2541|3|London
2542|1|London
2559|2|London
900149|3|Durham
451372|4|Oxford
2588|4|London
451378|4|Oxford
451388|3|Oxford
2610|4|London
900194|4|Durham
1348988|3|Cambridge
900211|3|Durham
1348998|3|Cambridge
900221|4|Durham
1349039|4|Cambridge
900273|2|Durham
1349065|4|Cambridge
2733|3|London
1349121|4|Cambridge
1349132|2|Cambridge
2777|3|London
1349160|2|Cambridge
900386|2|Durham
451625|2|Oxford
451635|3|Oxford
1349218|2|Cambridge
1349241|3|Cambridge
2890|3|London
1349264|3|Cambridge
1349268|1|Cambridge
900490|4|Durham
900494|2|Durham
451725|2|Oxford
451744|3|Oxford
900531|1|Durham
1349323|3|Cambridge
900541|2|Durham
451758|4|Oxford
451777|4|Oxford
900583|3|Durham
1349385|4|Cambridge
900604|1|Durham
451824|3|Oxford
3055|1|London
3064|4|London
900637|2|Durham
1349427|1|Cambridge
3078|3|London
451883|2|Oxford
451899|2|Oxford
